epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.3017,1.44102,2.42266,1.75238,0.71913,0.52902,0.46368,0.25627,1.3345,2.83119,1.62987,0.00017148,0.00017148,0.00017148
2,137.979,1.45182,2.35303,1.76771,0.40457,0.7381,0.55734,0.30629,1.43317,3.00836,1.65053,0.000351355,0.000351355,0.000351355
3,203.513,1.56323,2.37748,1.80934,0.5159,0.63499,0.6758,0.35521,1.45554,3.04053,1.64291,0.0005251,0.0005251,0.0005251
4,269.792,1.56392,2.39586,1.85429,0.76189,0.47964,0.58996,0.31748,1.55095,3.05226,1.74257,0.000692715,0.000692715,0.000692715
5,334.415,1.5349,2.3287,1.81131,0.79996,0.47619,0.46698,0.25127,1.60522,2.99606,1.78261,0.000854199,0.000854199,0.000854199
6,400.025,1.56766,2.3316,1.81194,0.80414,0.41071,0.51214,0.21781,1.70605,3.05794,1.85012,0.00100955,0.00100955,0.00100955
7,464.519,1.49524,2.333,1.77396,0.74918,0.41667,0.60797,0.26608,1.74988,3.08859,1.9395,0.00115878,0.00115878,0.00115878
8,530.296,1.56229,2.35353,1.85036,0.71701,0.46203,0.57385,0.29482,1.6209,2.96129,1.89876,0.00126395,0.00126395,0.00126395
9,594.674,1.57802,2.33972,1.86666,0.71701,0.46203,0.57385,0.29482,1.6209,2.96129,1.89876,0.00124037,0.00124037,0.00124037
10,660.009,1.48351,2.31648,1.76618,0.69536,0.41071,0.48235,0.26264,1.48796,2.74315,1.79807,0.00121679,0.00121679,0.00121679
11,725.722,1.4358,2.31238,1.76728,0.56201,0.42733,0.4057,0.19535,1.75524,3.04643,1.86538,0.00119322,0.00119322,0.00119322
12,791.072,1.45244,2.17377,1.72859,0.27601,0.45833,0.38154,0.15553,2.00683,3.42785,2.0175,0.00116964,0.00116964,0.00116964
13,856.805,1.45864,2.18157,1.76828,0.28607,0.63567,0.45325,0.18305,1.90418,3.26698,1.97587,0.00114606,0.00114606,0.00114606
14,921.442,1.41751,2.19476,1.76032,0.4252,0.56594,0.57406,0.2997,1.66445,2.584,1.87535,0.00112248,0.00112248,0.00112248
15,986.073,1.39226,2.14263,1.74539,0.4252,0.56594,0.57406,0.2997,1.66445,2.584,1.87535,0.0010989,0.0010989,0.0010989
16,1051.59,1.44545,2.09999,1.72348,0.38875,0.55357,0.5523,0.28671,1.53515,2.5307,1.87696,0.00107532,0.00107532,0.00107532
17,1117.01,1.41918,2.04979,1.72569,0.32593,0.625,0.46824,0.22974,1.60368,2.63284,1.87183,0.00105174,0.00105174,0.00105174
18,1181.71,1.39888,2.029,1.68602,0.35072,0.62129,0.53684,0.22891,1.60797,2.50369,1.88744,0.00102817,0.00102817,0.00102817
19,1247.23,1.46301,2.12919,1.78042,0.48435,0.58333,0.5481,0.26674,1.53246,2.3954,1.80521,0.00100459,0.00100459,0.00100459
20,1311.64,1.38769,2.07539,1.68964,0.48435,0.58333,0.5481,0.26674,1.53246,2.3954,1.80521,0.000981008,0.000981008,0.000981008
21,1376.76,1.40295,2.01728,1.70178,0.51493,0.58333,0.64893,0.33334,1.58693,2.43506,1.7904,0.00095743,0.00095743,0.00095743
22,1441.75,1.4415,2.09334,1.72291,0.44717,0.64255,0.6203,0.34124,1.52831,2.46047,1.75891,0.000933851,0.000933851,0.000933851
23,1505.79,1.37718,2.00461,1.70802,0.62566,0.6131,0.68553,0.3345,1.61389,2.43241,1.7656,0.000910273,0.000910273,0.000910273
24,1566.73,1.409,2.09759,1.74064,0.70757,0.7381,0.72539,0.39895,1.40614,2.30993,1.61994,0.000886694,0.000886694,0.000886694
25,1628.16,1.34277,2.00539,1.65059,0.70757,0.7381,0.72539,0.39895,1.40614,2.30993,1.61994,0.000863116,0.000863116,0.000863116
26,1692.16,1.34713,1.92664,1.66484,0.57863,0.72015,0.70539,0.40062,1.37576,2.29643,1.59608,0.000839537,0.000839537,0.000839537
27,1787.46,1.32961,1.87602,1.63507,0.4326,0.7381,0.62333,0.32217,1.41085,2.32369,1.63555,0.000815959,0.000815959,0.000815959
28,1882.16,1.31282,2.00427,1.62499,0.40865,0.72024,0.51716,0.25709,1.61547,2.45165,1.75446,0.00079238,0.00079238,0.00079238
29,1975.9,1.29025,1.93605,1.63422,0.4846,0.60119,0.57572,0.2773,1.56354,2.37164,1.73651,0.000768802,0.000768802,0.000768802
30,2070.19,1.27332,1.87347,1.62935,0.68367,0.66667,0.7233,0.37443,1.40406,2.22892,1.66405,0.000745223,0.000745223,0.000745223
31,2165.85,1.34749,1.94806,1.66179,0.68367,0.66667,0.7233,0.37443,1.40406,2.22892,1.66405,0.000721645,0.000721645,0.000721645
32,2257.43,1.28808,1.86812,1.63728,0.57777,0.73736,0.80131,0.41994,1.36987,2.14701,1.6976,0.000698066,0.000698066,0.000698066
33,2353.21,1.37285,1.91948,1.64392,0.80795,0.56552,0.75029,0.4136,1.26599,2.10587,1.65716,0.000674488,0.000674488,0.000674488
34,2445.07,1.26899,1.82906,1.59089,0.85519,0.55238,0.72905,0.40643,1.30679,2.06272,1.66369,0.000650909,0.000650909,0.000650909
35,2540.5,1.34399,2.00127,1.68436,0.65609,0.72024,0.77853,0.39795,1.40746,2.13675,1.71706,0.000627331,0.000627331,0.000627331
36,2633.8,1.20801,1.75031,1.57313,0.65609,0.72024,0.77853,0.39795,1.40746,2.13675,1.71706,0.000603752,0.000603752,0.000603752
37,2728.26,1.19247,1.73443,1.56174,0.79232,0.625,0.73615,0.36844,1.47655,2.11757,1.74166,0.000580174,0.000580174,0.000580174
38,2822.18,1.26974,1.73631,1.59704,0.76901,0.57738,0.70709,0.35192,1.54617,2.1186,1.78843,0.000556595,0.000556595,0.000556595
39,2916.96,1.24393,1.6934,1.58141,0.83069,0.60119,0.72234,0.36631,1.51621,2.16995,1.78696,0.000533017,0.000533017,0.000533017
40,3011.01,1.24246,1.75255,1.60647,0.75695,0.625,0.731,0.38079,1.44899,2.17766,1.77958,0.000509438,0.000509438,0.000509438
41,3104.25,1.26441,1.76653,1.6265,0.75695,0.625,0.731,0.38079,1.44899,2.17766,1.77958,0.00048586,0.00048586,0.00048586
42,3199.71,1.23081,1.81673,1.58711,0.72484,0.64881,0.7536,0.41516,1.38379,2.08182,1.74098,0.000462281,0.000462281,0.000462281
43,3292.35,1.19415,1.80241,1.57536,0.69899,0.67262,0.75867,0.40171,1.34906,2.07003,1.70295,0.000438703,0.000438703,0.000438703
44,3388.08,1.1729,1.65237,1.57238,0.8205,0.76256,0.84108,0.41296,1.37977,2.09583,1.74836,0.000415124,0.000415124,0.000415124
45,3481.22,1.18169,1.66627,1.55897,0.76007,0.69643,0.78242,0.39647,1.35623,2.08564,1.73106,0.000391546,0.000391546,0.000391546
46,3575.79,1.2074,1.7392,1.56411,0.62194,0.74671,0.74239,0.37601,1.36908,2.13093,1.75281,0.000367967,0.000367967,0.000367967
47,3670.31,1.19577,1.64719,1.52944,0.62194,0.74671,0.74239,0.37601,1.36908,2.13093,1.75281,0.000344389,0.000344389,0.000344389
48,3765.14,1.14959,1.70247,1.53467,0.65655,0.71429,0.68803,0.3359,1.39743,2.16217,1.76452,0.00032081,0.00032081,0.00032081
